"","country","alpha","out_deg","in_deg","clustering","year","n_nodes","n_edges","density","reciprocity","transitivity","avg_path_length"
"22","BLZ",0.5,3.10583005244258,5.88406562473357,0.958743631241384,"1995",182,7406,0.224819379515512,0.618687550634621,0.542139077419932,0.00156785085959422
"23","BMU",0.5,3.40678687438304,8.31343368013682,0.981138435931659,"1995",182,7406,0.224819379515512,0.618687550634621,0.542139077419932,0.00156785085959422
"24","BOL",0.5,5.01802971755783,10.0177953690506,0.89357395759349,"1995",182,7406,0.224819379515512,0.618687550634621,0.542139077419932,0.00156785085959422
"25","BRA",0.5,14.6064392345705,28.209188177956,0.855060986020458,"1995",182,7406,0.224819379515512,0.618687550634621,0.542139077419932,0.00156785085959422
"26","BRB",0.5,7.66772309763105,10.3448329811901,0.871471404774012,"1995",182,7406,0.224819379515512,0.618687550634621,0.542139077419932,0.00156785085959422
"27","BRN",0.5,6.17349576053628,9.96667432266852,0.965916485162312,"1995",182,7406,0.224819379515512,0.618687550634621,0.542139077419932,0.00156785085959422
"28","BTN",0.5,1.04795831523313,3.57567819234027,0.920034642032333,"1995",182,7406,0.224819379515512,0.618687550634621,0.542139077419932,0.00156785085959422
"29","CAF",0.5,2.7509860114168,6.0235937152701,0.944085112849821,"1995",182,7406,0.224819379515512,0.618687550634621,0.542139077419932,0.00156785085959422
"30","CAN",0.5,41.5051118941581,66.5980846505562,0.899665667757982,"1995",182,7406,0.224819379515512,0.618687550634621,0.542139077419932,0.00156785085959422
"31","CHE",0.5,36.8137724305663,49.1168056548283,0.810391422015894,"1995",182,7406,0.224819379515512,0.618687550634621,0.542139077419932,0.00156785085959422
"32","CHL",0.5,17.2511286622107,18.1621344657751,0.868485389239546,"1995",182,7406,0.224819379515512,0.618687550634621,0.542139077419932,0.00156785085959422
"33","CHN",0.5,39.3338720121729,26.8211577946467,0.810767539237679,"1995",182,7406,0.224819379515512,0.618687550634621,0.542139077419932,0.00156785085959422
"34","CIV",0.5,5.46973306806677,12.1379169375271,0.900297947865046,"1995",182,7406,0.224819379515512,0.618687550634621,0.542139077419932,0.00156785085959422
"35","CMR",0.5,4.47977820445854,8.81898918053972,0.934098729211004,"1995",182,7406,0.224819379515512,0.618687550634621,0.542139077419932,0.00156785085959422
"36","COG",0.5,2.88133569085239,6.60713170121902,0.965680446993788,"1995",182,7406,0.224819379515512,0.618687550634621,0.542139077419932,0.00156785085959422
"37","COL",0.5,18.3088083874161,18.8910709069862,0.79704855452434,"1995",182,7406,0.224819379515512,0.618687550634621,0.542139077419932,0.00156785085959422
"38","COM",0.5,1.12489995996797,4.17469144884944,0.999429370539446,"1995",182,7406,0.224819379515512,0.618687550634621,0.542139077419932,0.00156785085959422
"39","CPV",0.5,1.05656854249492,6.20783394653595,0.908485731633273,"1995",182,7406,0.224819379515512,0.618687550634621,0.542139077419932,0.00156785085959422
"40","CRI",0.5,9.01317091306371,12.177083871378,0.773627077859583,"1995",182,7406,0.224819379515512,0.618687550634621,0.542139077419932,0.00156785085959422
