iso_o,iso_d,contig,comlang_off,colony,comcol,dist,country,landlocked,continent,lat,lon,langoff_1,colonizer1
ABW,IRL,0,0,0,0,7174.0166,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,IRN,0,0,0,0,11880.18,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,IRQ,0,0,0,0,11426.339,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,ISL,0,0,0,0,6827.2202,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,ISR,0,0,0,0,10635.04,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,ITA,0,0,0,0,8480.1328,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,JAM,0,0,0,0,938.35114,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,JOR,0,0,0,0,10744.009,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,JPN,0,0,0,0,13815.841,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,KAZ,0,0,0,0,12977.214,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,KEN,0,0,0,0,11887.174,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,KGZ,0,0,0,0,12891.457,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,KHM,0,0,0,0,17292.002,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,KIR,0,0,0,0,12879.521,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,KNA,0,0,0,0,952.67194,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,KOR,0,0,0,0,14183.604,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,KWT,0,0,0,0,11922.281,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,LAO,0,0,0,0,16543.053,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,LBN,0,0,0,0,10635.638,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,LBR,0,0,0,0,6538.7207,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,LBY,0,0,0,0,8638.4834,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,LCA,0,0,0,0,1000.8457,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,LKA,0,0,0,0,16067.563,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,LSO,0,0,0,0,11423.006,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,LTU,0,0,0,0,9223.9092,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,LUX,0,0,0,0,7967.7109,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,LVA,0,0,0,0,9100.9482,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,MAC,0,0,0,0,16137.888,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,MAR,0,0,0,0,6782.7393,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,MDA,0,0,0,0,9662.5479,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,MDG,0,0,0,0,13342.618,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,MDV,0,0,0,0,15595.964,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,MEX,0,1,0,0,3197.7773,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,MHL,0,0,0,0,12908.488,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,MKD,0,0,0,0,9214.0879,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,MLI,0,0,0,0,6729.1143,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,MLT,0,0,0,0,8723.9805,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,MMR,0,0,0,0,16436.57,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,MNG,0,0,0,0,13299.098,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,MNP,0,0,0,0,15020.247,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,MOZ,0,0,0,0,11878.692,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,MRT,0,0,0,0,5824.1143,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,MSR,0,0,0,0,966.2597,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,MTQ,0,0,0,0,1001.7257,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,MUS,0,0,0,0,14395.813,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,MWI,0,0,0,0,11828.456,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,MYS,0,0,0,0,18066.889,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,NAM,0,0,0,0,10267.962,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,NCL,0,0,0,0,13964.526,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,NER,0,0,0,0,7796.3892,Aruba,0,America,12.55,-70.099998,Dutch,NLD
