iso_o,Country,Time,gdp,gdp_pct,population,trade_gdp_ratio,log_gdp,log_trade_gdp_ratio,country,landlocked,continent,lat,lon,langoff_1,colonizer1,category,development,TIME_PERIOD,log_gdp_pct,log_population,D_log_gdp_pct,D_log_gdp,pageRank_unique.wpr,close_unique.closeness,outdegree_unique.degree,indegree_unique.degree,local_clust_tt_unique,local_clust_out_unique,pageRank_repro.wpr,close_repro.closeness,outdegree_repro.degree,indegree_repro.degree,local_clust_tt_repro,local_clust_out_repro,Unnamed: 0,pageRank_total.name,pageRank_total.wpr,close_total.name,close_total.closeness,outdegree_total.name,outdegree_total.degree,indegree_total.name,indegree_total.degree,local_clust_tt_total,local_clust_out_total
BMU,Bermuda,2020,6887364000.0,106976.55,64382.0,69.19,22.652954265313976,4.23685634351072,Bermuda,0,America,32.299999,-64.800003,English,GBR,,1.0,2020,11.580365,11.072589,-0.079237938,-0.074956894,0.0036620006204931,9.17790365099913,1.82047051282291,43.2572056509964,0.980893606411238,0.863636363636364,0.0016468498620373,168.039444805032,3.24119780128593,34.6765124612112,0.987794176188583,0.990717895362663,24,24,0.0021411763766722,24,9897.90341442796,24,82.6769106613528,24,454.602172358423,0.983747536020868,0.986711070332759
BTN,Bhutan,2020,2457604333.91,3191.67,770006.0,71.83,21.622452864388567,4.27430221608671,Bhutan,1,Asia,27.533333,89.75,Burmese,,Emerging and Developing Economies,0.0,2020,8.0682993,13.554153,-0.11394691,-0.10719299,0.0013977270636772,6.71193052619128,1.68127152951529,1.65182075748604,0.919778582794461,1.0,0.0014091505735021,85.5782118329406,3.1095338734635,33.6185221259304,0.985668817736648,0.952027464006078,29,29,0.0015538356803494,29,9500.98681674499,29,69.811151939372,29,203.475218778357,0.996056676709604,0.99006829840183
BOL,Bolivia,2020,36629843806.08,3099.94,11816299.0,45.5,24.32412914962976,3.817712325956905,Bolivia,1,America,-16.5,-68.166664,Spanish,ESP,Emerging and Developing Economies,0.0,2020,8.0391378,16.28499,-0.12249374,-0.1101532,0.0013559667028778,30.8100947984256,1.95461555021571,1.78229228669497,0.990630243640513,0.99976875939415,0.002867739441315,396.03309928484,7.12684324158077,131.809017441861,0.975281527299204,0.905517082744434,25,25,0.0021610489802744,25,29926.2428713466,25,1188.73063064697,25,962.492629339159,0.974723396997033,0.982541567208542
BIH,Bosnia and Herzegovina,2020,20226036564.41,6130.31,3299349.0,82.11,23.7302365502172,4.4080598117206975,Bosnia and Herzegovina,0,Europe,43.866665,18.433332,Serbo-Croatian,TUR,Emerging and Developing Economies,0.0,2020,8.7210007,15.009235,0.001294136,-0.012605667,0.0017869581192902,58.3590086595876,2.78906804226357,1.98352410929836,0.979805630593655,0.994684137637158,0.0021176402587,6944.39603820306,144.769715304591,159.876806317445,0.949734151897504,0.940727354933143,21,21,0.0024412961272175,21,26555.221624313,21,877.616579264963,21,1202.33559280631,0.973681733805696,0.976899722222985
BWA,Botswana,2020,14960251610.9,6323.3,2365894.0,77.66,23.428662628261733,4.352340324303521,Botswana,1,Africa,-24.75,25.916666,English,GBR,Emerging and Developing Economies,0.0,2020,8.751996,14.676666,-0.12595654,-0.11156082,0.0014034213269483,4.52200610726541,1.93265928522305,2.18431515927971,0.943457792012329,0.903178512784424,0.0034839864566248,2231.20099846353,40.7557243137019,106.358401242404,0.986194495576404,0.983908094771095,30,30,0.0022911231205138,30,28067.0433394147,30,765.725062502935,30,997.064501448567,0.990106508760594,0.989041720643169
BRA,Brazil,2020,1476107231310.49,7074.19,208660842.0,32.3,28.020429489407302,3.475067230228611,Brazil,0,America,-15.78,-47.91,Portuguese,PRT,Emerging and Developing Economies,0.0,2020,8.8642082,19.156221,-0.24408054,-0.23828697,0.0038678402436813,530.864477076331,36.1100153591765,29.3225151265865,0.944714460712971,0.912254977935745,0.0086937682015318,15177.5883927491,630.214564341685,2909.04130479279,0.938146191232223,0.824007230665052,26,26,0.0082683234478584,26,172487.679875146,26,18296.6843583389,26,13006.117417555,0.95986632137482,0.956232355596551
BRN,Brunei Darussalam,2020,12005799664.27,26834.36,447404.0,110.29,23.20865567533583,4.703113260318055,Brunei Darussalam,0,Asia,4.9333334,114.96667,Malay,GBR,Emerging and Developing Economies,0.0,2020,10.197438,13.011217,-0.12563324,-0.11501694,0.0015932096053321,10.112529511994,1.55780295470258,2.23120495593888,1.0,1.0,0.0018473216735692,741.760900224388,9.70752046858847,79.3133477517258,0.986121648283185,0.998169760734252,28,28,0.0021143663170222,28,37661.0611338187,28,1159.68329138434,28,857.381336998504,0.98724033083641,0.998415283509644
BGR,Bulgaria,2020,70550652466.63,10769.95,6550696.0,110.32,24.979596763489216,4.703385233485046,Bulgaria,0,Europe,42.666668,23.299999,Bulgarian,TUR,Emerging and Developing Economies,0.0,2020,9.2845154,15.695082,0.037572861,0.027544022,0.0023327632594117,59.711786019148,3.6813678914406,3.10383241945537,0.872192546832935,0.872451440846122,0.0031360834337138,14844.7248392382,662.703798453871,671.389058507942,0.953686096996726,0.937553339303343,18,18,0.0035537257220918,18,62464.59095056,18,3227.25391206986,18,3489.36592482771,0.974119368978848,0.966205283415249
BFA,Burkina Faso,2020,17725010532.53,825.24,21478690.0,60.74,23.598242503583325,4.106602459617603,Burkina Faso,1,Africa,12.333333,-1.6666666,French,FRA,Emerging and Developing Economies,0.0,2020,6.7156744,16.882572,0.075994492,0.10033798,0.0013404887696482,31.4121427860197,2.31644318720379,1.74190217369343,0.925235751314173,0.939526192357375,0.0026504298932947,139.722988048033,4.71587760180825,85.9547103887103,0.964992854866241,0.913740789722274,16,16,0.0023430827144933,16,52077.0966812743,16,819.26232728991,16,679.59937363804,0.977648901454456,0.98700884911943
BDI,Burundi,2020,2649680261.44,210.01,12617036.0,26.77,21.69770481360464,3.2872818575322613,Burundi,1,Africa,-3.3666666,29.316668,French,BEL,Emerging and Developing Economies,0.0,2020,5.3471551,16.350559,-0.0010948181,0.027999878,0.0012752509544233,2.5007377804466,1.340729994084,1.67549745136785,0.683116076970826,0.88477366255144,0.0022031603565339,32.521934284057,2.41174136286762,23.6306347649934,0.970998740626754,0.866776116387149,13,13,0.0019632729213597,13,4427.60399555493,13,58.7656299161808,13,206.230470935793,0.976335419657431,0.979815325315925
CPV,Cabo Verde,2020,1821565613.69,3539.23,514679.0,78.39,21.322962195553856,4.361696368200631,Cabo Verde,0,Africa,14.916667,-23.5,Portuguese,PRT,Emerging and Developing Economies,0.0,2020,8.1716642,13.151299,-0.21331787,-0.21220207,0.0014244716450568,18.165022664912,1.48166364081978,1.78768359656428,0.960732267013734,1.0,0.0019022479579633,179.650974278091,3.51972486731966,25.9102935303139,0.983092651903217,0.984236672051696,41,41,0.0018368930324206,41,3871.24110953916,41,35.1289402997882,41,264.940392828218,0.992010433974675,0.99386548231147
KHM,Cambodia,2020,34818073901.49,2081.74,16725474.0,122.11,24.27340245388887,4.8049222778449305,Cambodia,0,Asia,11.583333,104.91666,Khmer,FRA,Emerging and Developing Economies,0.0,2020,7.6409593,16.632444,-0.066948414,-0.052240372,0.0020394647309989,37.5639816967173,2.71060420177555,3.7751289484891,0.96058116657246,0.953784508039236,0.0019156691096802,8630.9673004865,246.670127846605,419.776114217018,0.987956266506244,0.983602926335859,94,94,0.0026199402754473,94,68357.1065529153,94,2797.61285770078,94,2995.95260562154,0.985825088519418,0.987608243508075
CMR,Cameroon,2020,40773241177.05,1555.6,26210558.0,33.74,24.431291849686858,3.5186840771178223,Cameroon,0,Africa,3.8499999,11.516666,French,FRA,Emerging and Developing Economies,0.0,2020,7.3496165,17.081673,0.00023794174,0.027486801,0.0015213412291814,65.672949052364,3.0708985181818,1.95021753361649,0.91689708373415,0.934808524789755,0.0029439580525645,237.466609684047,14.3774972487166,139.178005299833,0.96465087696214,0.706695704968018,37,37,0.0026640448914727,37,23255.3658156596,37,757.346626178999,37,1183.7632957595,0.960237053423522,0.95567142534895
CAN,Canada,2020,1655684730000.19,43537.84,38028638.0,61.16,28.13523577333229,4.113493381060861,Canada,0,America,45.419998,-75.709999,English,GBR,Advanced Economies,1.0,2020,10.681386,17.45385,-0.062652588,-0.051809311,0.0120654486527779,727.946631473873,57.049464549367,64.9601092100001,0.870083400714986,0.94077935802119,0.012813844003651,35061.5446119439,1805.79289150055,4846.47081084282,0.94588805735265,0.950165885393057,32,32,0.0182348404793091,32,198346.079473233,32,28635.500329313,32,28142.974232791,0.987788482860259,0.991409627999009
CAF,Central African Republic,2020,2326720900.38,462.88,5026628.0,49.52,21.56772577439983,3.9023766283763406,Central African Republic,1,Africa,4.3833332,18.616667,French,FRA,Emerging and Developing Economies,0.0,2020,6.1374679,15.43026,0.029932976,0.046367645,0.0010951248939775,5.5310998872426,1.56766367093903,1.71162390077358,0.935788192331102,0.904953917050691,0.0027604682402089,41.1353684589969,2.76682777384559,27.4176574529704,0.963013413362035,0.85766494352539,31,31,0.0018261523318568,31,3406.11307331823,31,45.5220800695932,31,117.530212514737,0.975763954917518,0.989269687623167
TCD,Chad,2020,14932897821.24,866.95,17224679.0,40.64,23.42683252351772,3.7047528032702255,Chad,1,Africa,12.166667,14.983334,French,FRA,Emerging and Developing Economies,0.0,2020,6.7649813,16.661854,-0.029985905,0.0018348694,0.0008398046860699,2.47477463684163,1.45446704660775,1.3228381236025,0.837471783295711,0.885869565217391,0.0017808634572902,57.6558669656408,2.92530396550914,48.1411052235015,0.992915912368008,0.965546818071411,166,166,0.0018120452550051,166,16551.1121059143,166,332.634147159065,166,260.241811979934,0.995233685886102,0.99759294630288
CHL,Chile,2020,254042159309.31,13114.82,19370624.0,58.18,26.26076607172425,4.063541653067055,Chile,0,America,-33.5,-70.666664,Spanish,ESP,Emerging and Developing Economies,0.0,2020,9.4814978,16.779268,-0.10011101,-0.091144562,0.0029254472267395,76.7382399001204,3.81146462777702,5.17050299351195,0.941072471731625,0.988167712478154,0.0050635674241836,2542.27931607198,60.9448512135223,1236.09591978269,0.97249446099176,0.861832325282238,34,34,0.0041165603812275,34,131505.718986875,34,7538.47340111111,34,5684.78390781876,0.984465634602085,0.987522730246004
CHN,China,2020,14996414166715.1,10627.46,1411100000.0,34.04,30.3388322329001,3.527536303705173,China,0,Asia,39.916668,116.43333,Chinese,,Emerging and Developing Economies,0.0,2020,9.2711964,21.067635,0.027140617,0.029521942,0.016628615488245,765.880246540412,130.635312664352,92.8747326422593,0.680474888865901,0.623176199137271,0.0470853195555847,97203.6250524177,44823.7330127102,24642.4666759225,0.879869094097176,0.873462328340608,35,35,0.0646823966511837,35,257983.924906806,35,99141.9986593324,35,78906.60381526,0.945011316604801,0.946263735729325
COL,Colombia,2020,270348342541.46,5339.69,50629997.0,34.06,26.32297712196761,3.5281236752345424,Colombia,0,America,4.6333332,-75.066666,Spanish,ESP,Emerging and Developing Economies,0.0,2020,8.5829229,17.740055,-0.19240284,-0.17803955,0.0021654172694207,295.246975268462,11.7536752425119,7.83337560500076,0.972174788561229,0.957937099477472,0.0042250801462057,6441.78240319358,157.865804692556,886.09816802736,0.949835076655405,0.815215451171695,39,39,0.0035784315465138,39,87434.3732672051,39,4129.19649423094,39,4471.71207518911,0.965569674471898,0.953575189605496
COM,Comoros,2020,1225039195.94,1527.17,802163.0,33.73,20.92623867711693,3.5183876490735586,Comoros,0,Africa,-11.666667,43.266666,Arabic,FRA,Emerging and Developing Economies,0.0,2020,7.3311715,13.595067,0.0051927567,0.024810791,0.0009233426589087,2.09035399014095,1.40322762696371,1.44081121695085,0.861737677527151,0.885869565217391,0.0015803263541003,21.8745489847234,2.05832518563485,11.2920294055736,0.990005283462477,0.969678971734893,40,40,0.0017282178790761,40,1341.38402076304,40,24.6703536853584,40,96.8946681773203,0.991269647935997,0.988483305729781
COG,"Congo, Rep.",2020,11468687464.0,1993.59,5752791.0,69.31,23.162886329456143,4.238589195929893,Republic of Congo,0,Africa,-4.2333331,15.233334,French,FRA,Emerging and Developing Economies,0.0,2020,7.5976925,15.565196,-0.22171068,-0.19776726,0.0013258301813197,103.777598876167,3.38930875050598,1.66034908757729,0.943073622882592,0.951584475134116,0.0027996170954947,115.339835121913,5.3304240233906,62.9795536624866,0.969567267650025,0.892475363362282,38,38,0.0021017108404166,38,54257.9497921745,38,1195.4203259258,38,516.242796334801,0.986208350631109,0.988501443625326
CRI,Costa Rica,2020,62395610759.98,12394.05,5034320.0,60.14,24.856760769462856,4.096675177560383,Costa Rica,0,America,9.9833336,-84.066666,Spanish,ESP,Emerging and Developing Economies,0.0,2020,9.4249716,15.431789,-0.038823128,-0.031894684,0.0025191211167576,39.2570832964918,2.66369355128293,2.79653990186989,0.915234626763681,0.913206212154617,0.0030576981088421,8774.49960370767,361.874585281332,391.547185873731,0.962988092064359,0.949436310971056,42,42,0.0028185423334991,42,63254.4540006619,42,1841.29520146351,42,1836.27876010656,0.965391013686376,0.962438662556114
CIV,Cote d'Ivoire,2020,63027852805.42,2179.73,28915449.0,41.94,24.866842573659525,3.7362400254737738,Côte d'Ivoire,0,Africa,5.3166666,-4.0166669,French,FRA,Emerging and Developing Economies,0.0,2020,7.6869564,17.179886,0.017568588,0.042871475,0.001892458606785,120.264702844823,5.13010648539887,2.40486928761949,0.870359323456155,0.856092604629538,0.0033672928450744,850.656422947257,14.5878172843403,200.063976584178,0.966491914046205,0.929216945945275,36,36,0.0029459618009746,36,31579.1959347094,36,1850.87228181142,36,1570.46735878273,0.95841383889031,0.961088263429291
