iso_o,Country,Time,gdp,gdp_pct,population,trade_gdp_ratio,log_gdp,log_trade_gdp_ratio,country,landlocked,continent,lat,lon,langoff_1,colonizer1,category,development,TIME_PERIOD,log_gdp_pct,log_population,D_log_gdp_pct,D_log_gdp,pageRank_unique.wpr,close_unique.closeness,outdegree_unique.degree,indegree_unique.degree,local_clust_tt_unique,local_clust_out_unique,pageRank_repro.wpr,close_repro.closeness,outdegree_repro.degree,indegree_repro.degree,local_clust_tt_repro,local_clust_out_repro,pageRank_total.wpr,close_total.closeness,outdegree_total.degree,indegree_total.degree,local_clust_tt_total,local_clust_out_total
COG,"Congo, Rep.",2018,14773900288.51,2694.43,5483118.0,100.58,23.416127966910786,4.610953430743819,Republic of Congo,0,Africa,-4.2333331,15.233334,French,FRA,Emerging and Developing Economies,0.0,2018,7.898942,15.517184,0.19745684,0.22184563,0.0013555649420012,87.6413114993166,3.19332724674307,2.33501792877605,0.986766642388227,0.988725797683269,0.0024117521772423,330.975199725162,7.61313868461002,68.2970467620415,0.971619241477323,0.876880629734403,0.0021449838085637,79438.7045558314,1852.91680567668,619.692840709383,0.987981560009428,0.990347951301885
CRI,Costa Rica,2018,62420164991.54,12590.25,4957818.0,66.95,24.85715421703355,4.203946072137182,Costa Rica,0,America,9.9833336,-84.066666,Spanish,ESP,Emerging and Developing Economies,0.0,2018,9.4406776,15.416476,0.021934509,0.030981064,0.0025482032147168,92.3122951245506,3.66654101269458,3.47786100213164,0.907144599952557,0.941363823751138,0.0036423069298176,8861.54530907264,254.52200747207,403.814822207906,0.947038758106729,0.917491949260756,0.0027980834115798,62722.8814071297,1782.72518022007,2053.72153365554,0.965530547554241,0.959297794891273
CIV,Cote d'Ivoire,2018,58522477786.69,2130.87,27464173.0,46.04,24.792676753054515,3.829510583853682,Côte d'Ivoire,0,Africa,5.3166666,-4.0166669,French,FRA,Emerging and Developing Economies,0.0,2018,7.6642857,17.128393,0.081394196,0.1083622,0.0033207215786729,146.836050277276,5.21326145486381,2.53524761409364,0.855020165851847,0.868864211718915,0.0035005470160579,456.089933876055,11.3331751269437,185.495851104956,0.966720916350506,0.851045044293847,0.0027245787916431,35149.6797569683,1842.67577026656,1592.06186017547,0.959743106709326,0.952970908414393
HRV,Croatia,2018,61668130122.59,15460.42,3988775.0,99.07,24.84503310479271,4.5958266709849385,Croatia,0,Europe,45.799999,15.966666,Serbo-Croatian,AUT,Advanced Economies,1.0,2018,9.6460381,15.198995,0.10620499,0.093097687,0.0022429527753084,90.5211668978408,3.4303383656566,2.72542281945733,0.918637547385448,0.924815901077663,0.0025384726482315,8481.4319246926,304.280576841819,452.658163063472,0.951583871838664,0.926667847082675,0.0030543802030645,43920.1444711432,2003.75880557315,3279.72442694538,0.976136951286656,0.973199576113759
CUB,Cuba,2018,100050036096.12,8911.46,11227118.0,27.08,25.328936258756897,3.298795448044074,Cuba,0,America,23.116667,-82.416664,Spanish,ESP,,0.0,2018,9.0950937,16.233843,0.034343719,0.032499313,0.0011620695646858,80.2282968127094,3.68309159062187,3.15941344169491,0.949803704950523,0.94625026405481,0.0022032827331748,470.135088192475,9.45784886263895,177.654258316345,0.982349373471371,0.964248922257836,0.0023619328917871,20474.1424829363,471.581247185163,1550.40291534309,0.947808153876234,0.964914605012574
CYP,Cyprus,2018,25754001367.54,29599.99,1270737.0,147.62,23.9718558448981,4.994641404341906,Cyprus,0,Europe,35.150002,33.349998,Greek,GBR,Advanced Economies,1.0,2018,10.295529,14.055108,0.10322285,0.1154213,0.0023767585204188,58.2194990896238,3.1986282646153,6.02672379004103,0.954457140570897,0.969960921205735,0.0023607342281322,3073.78429463386,102.46180522396,180.326229975316,0.932312841690654,0.888110022301518,0.0029877722759445,16327.8881949787,729.299519459236,1834.93718960208,0.945410733148771,0.87652633151048
CZE,Czechia,2018,251992360762.24,23705.93,10629928.0,145.14,26.252664609562785,4.97769879384999,Czech Republic,1,Europe,50.099998,14.433333,Czech,AUT,Advanced Economies,1.0,2018,10.073481,16.179184,0.12534523,0.12868881,0.0031361018921839,189.927605160458,9.95256720798044,12.4833626373098,0.908590191918251,0.911743447122017,0.0095477695165473,38574.8044669315,3916.81248961732,3887.76690612711,0.945290177268456,0.943586062271983,0.0066403859313643,156385.491715746,14061.4595739739,12785.5551252196,0.981438205683204,0.983164580540528
DNK,Denmark,2018,355293374912.39,61324.77,5793636.0,108.81,26.596209693338498,4.689603241962921,Denmark,0,Europe,55.666668,12.583333,Danish,,Advanced Economies,1.0,2018,11.023939,15.57227,0.064023972,0.068983078,0.005706834911155,433.130120074386,29.6067633244332,35.4651165882953,0.885513347183826,0.872914506541187,0.0062911647767655,21297.5494447192,1431.03707978934,1603.41910818276,0.946845076086873,0.918817403098018,0.0056601958492434,104211.588445315,9394.66351469701,9154.29207014925,0.975322174573896,0.97154166368992
DJI,Djibouti,2018,2913464658.09,2718.08,1071882.0,300.4,21.7926088140774,5.705114919889979,Djibouti,0,Africa,11.6,43.150002,French,FRA,Emerging and Developing Economies,0.0,2018,7.907681,13.884927,0.037148476,0.05317688,0.0009032589584479,10.8554029900936,1.4625060312261,1.57785315904369,0.685958507701896,0.259009009009009,0.0017021742465445,538.893745999922,13.5204262428509,99.4883391843467,0.990874088872343,0.899760191552665,0.0019783453114481,6441.40543567712,132.145868836229,969.482473355315,0.98879083236042,0.923118426855965
DMA,Dominica,2018,628244444.44,9215.31,68174.0,,20.258439891436023,,Dominica,0,America,15.3,-61.383335,English,GBR,Emerging and Developing Economies,0.0,2018,9.1286211,11.129819,0.11373043,0.10901833,0.001229779888714,9.64386546686657,1.4523524766572,1.55448004637775,0.907522485690924,0.943302387267904,0.0017336832214558,356.65002133721,5.8019346533511,20.0888200800446,0.967047436442856,0.88309274366681,0.0020057157917733,3171.22088280665,43.1961591082991,118.509607979118,0.967726817147544,0.949825685166138
