iso_o,country,landlocked,continent,lat,lon,langoff_1,colonizer1
EST,Estonia,0,Europe,59.416668,24.75,Estonian,RUS
EGY,Egypt,0,Africa,30.049999,31.25,Arabic,GBR
ESH,Western Sahara,0,Africa,27.166666,-13.183333,Arabic,ESP
ERI,Eritrea,0,Africa,15.333333,38.883335,English,GBR
ESP,Spain,0,Europe,40.416668,-3.7166667,Spanish,
ETH,Ethiopia,1,Africa,9.0500002,38.833332,Amharic,
FIN,Finland,0,Europe,60.133335,25.0,Swedish,RUS
FJI,Fiji,0,Pacific,-18.133333,178.41667,English,GBR
FLK,Falkland Islands,0,America,-51.700001,-57.849998,English,GBR
FSM,Micronesia (Federated States of),0,Pacific,6.9166665,158.25,English,ESP
FRO,Faroe Islands,0,Europe,62.016666,-6.7666669,Faroese,DNK
FRA,France,0,Europe,48.866665,2.3333333,French,
GAB,Gabon,0,Africa,0.38333333,9.416667,French,FRA
GBR,United Kingdom,0,Europe,51.5,-0.16666667,English,
GRD,Grenada,0,America,12.066667,-61.733334,English,GBR
GEO,Georgia,0,Asia,41.716667,44.816666,Georgian,RUS
GUF,French Guiana,0,America,4.9333334,-52.333332,French,FRA
GHA,Ghana,0,Africa,5.5500002,-0.25,English,GBR
GIB,Gibraltar,0,Europe,36.133335,-5.3499999,English,GBR
GRL,Greenland,0,America,64.183334,-51.733334,Greenlandic,DNK
GMB,Gambia,0,Africa,13.466666,-16.65,English,GBR
GIN,Guinea,0,Africa,9.5166664,-15.716666,French,FRA
GLP,Guadeloupe,0,America,16.0,-61.733334,French,FRA
GNQ,Equatorial Guinea,0,Africa,3.75,8.8000002,Spanish,ESP
GRC,Greece,0,Europe,38.0,23.733334,Greek,TUR
GTM,Guatemala,0,America,14.633333,-90.51667,Spanish,ESP
GNB,Guinea-Bissau,0,Africa,11.866667,-15.65,Portuguese,PRT
GUY,Guyana,0,America,6.7666669,-58.166668,English,GBR
HKG,Hong Kong,0,Asia,22.266666,114.15,English,GBR
HND,Honduras,0,America,14.083333,-87.23333,Spanish,ESP
HRV,Croatia,0,Europe,45.799999,15.966666,Serbo-Croatian,AUT
HTI,Haiti,0,America,18.549999,-72.333336,French,
HUN,Hungary,1,Europe,47.5,19.049999,Hungarian,
IDN,Indonesia,0,Asia,-6.1333332,106.75,Indonesian,NLD
IRL,Ireland,0,Europe,53.333332,-6.25,English,GBR
ISR,Israel,0,Asia,32.083332,34.766666,Hebrew,GBR
IND,India,0,Asia,28.616667,77.216667,English,GBR
IRQ,Iraq,0,Asia,33.333332,44.433334,Arabic,TUR
IRN,Iran,0,Asia,35.666668,51.433334,Persian,
ISL,Iceland,0,Europe,64.150002,-21.966667,Icelandic,DNK
ITA,Italy,0,Europe,41.883335,12.5,Italian,
JAM,Jamaica,0,America,17.966667,-76.800003,English,GBR
JOR,Jordan,0,Asia,31.950001,35.933334,Arabic,GBR
