,year,total_previous_u_ties,persisted_u,new_u,dissolved_u,survival_rate_u,formation_rate_u,dissolution_rate_u,total_previous_r_ties,persisted_r,new_r,dissolved_r,survival_rate_r,formation_rate_r,dissolution_rate_r,total_previous_t_ties,persisted_t,new_t,dissolved_t,survival_rate_t,formation_rate_t,dissolution_rate_t,nodes_u,edges_u,clustering_u,density_u,reciprocity_u,transitivity_u,avg_path_length_u,nodes_r,edges_r,clustering_r,density_r,reciprocity_r,transitivity_r,avg_path_length_r,nodes_t,edges_t,clustering_t,density_t,reciprocity_t,transitivity_t,avg_path_length_t
10,2006,5225,3989,1515,1236,0.763444976076555,0.28995215311004785,0.23655502392344496,11090,9307,1940,1783,0.839224526600541,0.17493237150586113,0.16077547339945897,24922,23027,2173,1895,0.9239627638231281,0.08719203916218601,0.07603723617687184,186.0,5504.0,0.8711887891673042,0.159953501888986,0.595203488372093,0.49140832723035294,0.0127856366366367,189.0,11247.0,0.8939964338754136,0.316531577169875,0.665066239886192,0.629277435642428,0.0005438337273441,189.0,25200.0,0.9710680538124449,0.709219858156028,0.8650793650793649,0.8645517471762921,0.0087068473488696
11,2007,5504,4167,1536,1337,0.7570857558139535,0.27906976744186046,0.2429142441860465,11247,9519,2055,1728,0.8463590290744198,0.18271539077087223,0.15364097092558016,25200,23342,2116,1858,0.9262698412698412,0.08396825396825397,0.07373015873015873,187.0,5703.0,0.8513339103622377,0.163964119372089,0.582851130983693,0.50750899585851,0.0036342045083308,189.0,11574.0,0.8962417901796771,0.325734549138804,0.669777086573354,0.636037036312412,0.0004154792892709,189.0,25458.0,0.9724943892887904,0.716480918608578,0.8683321549218321,0.867698190636894,0.0041592367443431
12,2008,5703,4312,1522,1391,0.7560932842363668,0.2668770822374189,0.24390671576363318,11574,9652,1981,1922,0.8339381372040781,0.1711594954207707,0.1660618627959219,25458,23621,2108,1837,0.9278419357372928,0.08280304815775003,0.0721580642627072,189.0,5834.0,0.8387455718125986,0.164190025892154,0.574220089132671,0.513567071697165,0.0034310621419128,189.0,11633.0,0.8970558594714761,0.327395024203535,0.681509498839508,0.636459060988095,0.0004970348574012,189.0,25729.0,0.9725815339260137,0.7241078464482721,0.868591861323798,0.8740018055647041,0.006797863897331201
13,2009,5834,4216,1430,1618,0.7226602673980117,0.24511484401782654,0.27733973260198835,11633,9703,2020,1930,0.8340926674116736,0.17364394395254878,0.16590733258832632,25729,23795,2106,1934,0.9248319017451125,0.08185316180185782,0.07516809825488747,188.0,5646.0,0.8497388599046277,0.160598475366936,0.584130357775416,0.504133569963989,0.0032578899163884,189.0,11723.0,0.8936422081455795,0.329927952268378,0.679177684892945,0.635945605750831,0.0004772711921645,189.0,25901.0,0.9725975635198965,0.728948553416639,0.875410215821783,0.874362011061631,0.005374563773499701
14,2010,5646,4209,1529,1437,0.7454835281615303,0.27081119376549767,0.2545164718384697,11723,9792,1915,1931,0.8352810713981063,0.16335409024993602,0.16471892860189372,25901,24088,1990,1813,0.9300027025983553,0.0768310103856994,0.06999729740164472,189.0,5738.0,0.8578411596215629,0.161488235956321,0.594632276054374,0.502730997586402,0.0010843522948782,189.0,11707.0,0.8954712321021032,0.329477653945739,0.676518322371231,0.633855297471041,0.0004185208239019999,189.0,26078.0,0.974420133926504,0.73392997861083,0.877674668302784,0.87802013186667,0.0062906760103567
15,2011,5738,4197,1474,1541,0.7314395259672359,0.2568839316835134,0.268560474032764,11707,9809,2062,1898,0.8378747757751772,0.1761339369607927,0.16212522422482276,26078,24341,2125,1737,0.9333921312984125,0.08148631029986962,0.06660786870158754,189.0,5671.0,0.879948591886093,0.159602611730271,0.609769000176336,0.49918347759138,0.0010757934642056,189.0,11871.0,0.8961949065571809,0.334093211752786,0.673068823182546,0.639204385123314,0.0005209416863669,189.0,26466.0,0.9745430423301185,0.744849712934819,0.882641880148115,0.8835346783898211,0.0086923590003371
16,2012,5671,4247,1498,1424,0.7488979016046553,0.2641509433962264,0.25110209839534475,11871,9934,2062,1937,0.8368292477466094,0.17370061494398112,0.16317075225339062,26466,24666,2262,1800,0.9319882112899569,0.08546814781228747,0.06801178871004307,188.0,5745.0,0.880077245596631,0.163414495391967,0.614447345517842,0.498659820282413,0.0011664739717313,190.0,11996.0,0.8939497780815215,0.334057365636313,0.678559519839947,0.638033851764854,0.0004872514619879,190.0,26928.0,0.9757511021553766,0.749874686716792,0.877525252525252,0.889443980220557,0.0112459927596778
17,2013,5745,4331,1503,1414,0.7538729329852045,0.2616187989556136,0.24612706701479548,11996,9967,1847,2029,0.8308602867622541,0.1539679893297766,0.1691397132377459,26928,25037,1909,1891,0.9297756981580511,0.07089275103980987,0.0702243018419489,187.0,5834.0,0.8815035870254999,0.167730435282617,0.620843332190607,0.49890734707917705,0.0009046489563563,190.0,11814.0,0.8933591203723218,0.328989139515455,0.669544608092094,0.634191319982493,0.0004009294252678,190.0,26946.0,0.9759903678169709,0.750375939849624,0.8835448675128031,0.885484630677474,0.0124686688944592
18,2014,5834,4392,1544,1442,0.7528282482002057,0.2646554679465204,0.2471717517997943,11814,10024,1988,1790,0.8484848484848485,0.16827492805146435,0.15151515151515152,26946,25198,1924,1748,0.935129518295851,0.07140206338603132,0.06487048170414904,189.0,5936.0,0.8937923203047518,0.167060677698976,0.615902964959569,0.505822272259768,0.0019570582114575,190.0,12012.0,0.8942340455966973,0.334502923976608,0.672827172827173,0.640707463497218,0.0003847630305074,190.0,27122.0,0.974865711184847,0.755277081592871,0.882457045940565,0.8893368335017658,0.024583082706768004
19,2015,5936,4430,1655,1506,0.7462938005390836,0.27880727762803237,0.25370619946091644,12012,10085,1942,1927,0.8395770895770895,0.16167166167166167,0.16042291042291043,27122,25395,1817,1727,0.936324754811592,0.06699358454391269,0.06367524518840793,189.0,6085.0,0.8848240377102129,0.171254080828549,0.620213640098603,0.505316470129895,0.0037561047519943003,190.0,12027.0,0.89561223965467,0.334920634920635,0.668495884260414,0.638744192594678,0.0007692701772062,190.0,27212.0,0.97602762114721,0.757783347257031,0.886153167720123,0.888844314857532,0.0177450375939865
20,2016,6085,4510,1657,1575,0.7411668036154478,0.2723089564502876,0.25883319638455216,12027,10027,1835,2000,0.8337074914775089,0.15257337656938555,0.16629250852249106,27212,25571,1849,1641,0.9396957224753785,0.06794796413347053,0.06030427752462149,189.0,6167.0,0.8846375212797511,0.173561859732072,0.622993351710718,0.516567953117048,0.0012719146834045,190.0,11862.0,0.8916819535185876,0.330325814536341,0.674253920080931,0.635042798554863,0.0003914202172094,190.0,27420.0,0.9771475646827387,0.763575605680869,0.888402625820569,0.8926093028337901,0.0188508576998066
21,2017,6167,4568,1594,1599,0.7407167180152424,0.2584725149991892,0.2592832819847576,11862,9951,1906,1911,0.8388973191704603,0.1606811667509695,0.1611026808295397,27420,25684,1830,1736,0.936688548504741,0.06673960612691467,0.06331145149525894,189.0,6162.0,0.8938635580331007,0.173421141506248,0.631288542680948,0.522334113651986,0.0015967449121187002,190.0,11857.0,0.893944614152353,0.330186577554999,0.665429703972337,0.638387588211603,0.0004196546922859,190.0,27514.0,0.978269148575665,0.766193260930103,0.885512829832085,0.897366720051868,0.0091041826789201
22,2018,6162,4611,1685,1551,0.7482960077896786,0.27345017851346964,0.2517039922103213,11857,9933,1942,1924,0.8377329847347559,0.16378510584464873,0.16226701526524415,27514,25906,1812,1608,0.9415570255142837,0.06585738169659083,0.058442974485716365,189.0,6296.0,0.9022764047202594,0.177192389958347,0.646759847522236,0.519297462646323,0.006440989246069199,190.0,11875.0,0.8945897546945454,0.330687830687831,0.671157894736842,0.6393313814811,0.0003906432748535,190.0,27718.0,0.9784141878132975,0.771874129768867,0.88888087163576,0.898489014216896,0.0156109551656929
23,2019,6296,4746,1612,1550,0.7538119440914867,0.2560355781448539,0.24618805590851334,11875,9958,1839,1917,0.8385684210526316,0.15486315789473684,0.16143157894736843,27718,25903,1644,1815,0.934519085071073,0.05931163864636698,0.06548091492892705,190.0,6358.0,0.8836178131593488,0.177053745474798,0.635419943378421,0.527098279626653,0.002606178436501,190.0,11797.0,0.8939830375035059,0.328515733778892,0.6727134017123,0.634394361191731,0.0004095683653575,190.0,27547.0,0.9789808440796253,0.7671122250069619,0.8876465676843209,0.898105366825256,0.0176592898913964
24,2020,6358,4541,1293,1817,0.7142183076439131,0.2033658383139352,0.2857816923560868,11797,9669,1617,2128,0.8196151563956938,0.13706874629143004,0.18038484360430618,27547,25699,1474,1848,0.9329146549533525,0.053508549025302214,0.06708534504664755,188.0,5834.0,0.8922843178569784,0.165946068949824,0.634213232773397,0.51284583974013,0.0045588852401853,190.0,11286.0,0.8875490923399716,0.314285714285714,0.661350345560872,0.625178077991617,0.0003801949317736,190.0,27173.0,0.9776199398383449,0.756697298802562,0.8854377507084239,0.892094999945649,0.0191208939014211
25,2021,5834,4532,1832,1302,0.7768255056564964,0.314021254713747,0.2231744943435036,11286,9612,2192,1674,0.8516746411483254,0.19422293106503632,0.14832535885167464,27173,25678,1829,1495,0.9449821514002871,0.0673094615979097,0.05501784859971295,189.0,6364.0,0.9057064881764618,0.179106157829562,0.629792583280955,0.526841128105384,0.0011893288629398,190.0,11804.0,0.8978164382292557,0.328710665552771,0.679261267366994,0.636231054071263,0.00039730994152020006,190.0,27507.0,0.9786537004267265,0.765998329156224,0.887119642272876,0.896309725275594,0.05830967418546879
26,2022,6364,4761,1500,1603,0.7481143934632307,0.23570081709616594,0.25188560653676934,11804,9956,1916,1848,0.8434429007116232,0.16231785835310064,0.15655709928837683,27507,25850,1626,1657,0.939760788163013,0.05911222597884175,0.060239211836986946,189.0,6261.0,0.8952377553902259,0.17620736237757498,0.636958952244051,0.521816161585412,0.0008232495960037,190.0,11872.0,0.8932866427066777,0.330604288499025,0.679245283018868,0.640379543798992,0.0003765274296851,190.0,27476.0,0.9788330560996931,0.7651350598719019,0.8873198427718739,0.895774744984679,0.05501490392648519
27,2023,6261,4834,1630,1427,0.7720811371985306,0.26034179843475486,0.22791886280146942,11872,10015,1801,1857,0.8435815363881402,0.15170148247978438,0.15641846361185985,27476,25792,1582,1684,0.9387101470374145,0.05757752220119377,0.06128985296258553,187.0,6464.0,0.8997111867891951,0.185843252256915,0.646658415841584,0.534758168403794,0.0167172763396245,190.0,11816.0,0.901086168444547,0.329044834307992,0.684834123222749,0.63956323771206,0.0003844249512668,190.0,27374.0,0.9798251406766664,0.76229462545252,0.8919412581281508,0.891088703345918,0.0420734363687066
