"","iso_o","pageRank_total.name","pageRank_total.wpr","close_total.name","close_total.closeness","outdegree_total.name","outdegree_total.degree","indegree_total.name","indegree_total.degree","local_clust_tt_total","local_clust_out_total"
"29","BTN",29,0.0016067155183039,29,10988.5350255224,29,85.1627956317689,29,144.896592931471,0.997973474415873,0.998927827207589
"30","BWA",30,0.00227590256020591,30,36345.3454442889,30,734.827532159271,30,993.603086577454,0.985591730360643,0.983604428930632
"31","CAF",31,0.00177101705669682,31,3396.15946584705,31,51.3181824685596,31,115.946557096342,0.989709778367281,0.990586687414443
"32","CAN",32,0.0193839265319765,32,174039.607484194,32,27942.6245112724,32,26007.7959032463,0.981102695542765,0.988370937563834
"33","CHE",33,0.0126858424255579,33,125728.963613217,33,18123.0002713595,33,17036.2246872522,0.970857622769772,0.971463734098906
"34","CHL",34,0.0045882575837917,34,99427.3122559778,34,7205.31200213382,34,5641.28998353438,0.976996181654263,0.979257884059575
"35","CHN",35,0.04760257129207,35,208760.527675301,35,73677.9145526017,35,59324.0868151389,0.949990342122853,0.951835702253992
"36","CIV",36,0.00311018821111596,36,29913.0006264208,36,1516.57045941204,36,1120.70689499934,0.933971989345428,0.932815619526559
"37","CMR",37,0.00236753028259659,37,22317.2081217802,37,811.005302257493,37,780.813573514656,0.952223536625025,0.94570358637572
"38","COG",38,0.0023931332029359,38,44009.7843942977,38,1381.96567420963,38,782.136087134384,0.962761032594693,0.980322883138033
"39","COL",39,0.00448797130204079,39,94745.1176489791,39,4740.32101935568,39,4319.91409873898,0.963272323114521,0.960641436676271
"40","COM",40,0.00177108746956882,40,901.337714707363,40,17.4981011129467,40,82.6714173520321,0.987753441597981,0.993226487021431
"41","CPV",41,0.00179584128406555,41,3366.33020833007,41,39.5921933743593,41,186.80709631696,0.987848460786656,0.975711100553723
"42","CRI",42,0.00283079489877173,42,61377.653796445,42,1873.18542338833,42,1561.14403992829,0.966614231915946,0.967975458211141
"43","CUB",43,0.00255496083859436,43,27223.2402049846,43,740.979971730072,43,1331.6455562286,0.952694879324112,0.968413488174027
"44","CYP",44,0.00276704287326102,44,15765.1786564545,44,573.379647498265,44,1865.93523866923,0.973404367451186,0.951951372481316
"45","CZE",45,0.00606297550066554,45,120313.137812916,45,10089.6578126592,45,9769.88165678527,0.974863700675993,0.978971013428654
"46","DEU",46,0.0436641792947656,46,201424.744726354,46,66087.6731495288,46,54960.5749760529,0.968388283802943,0.966477372590671
"47","DJI",47,0.00180129904744475,47,3064.66153819699,47,41.8177759604254,47,419.700929618892,0.991678661380411,0.976695316386324
