iso_o,iso_d,contig,comlang_off,colony,comcol,dist,log_dist
TZA,YUG,0,0,0,0,6052.165,8.708171338251073
TZA,ZAF,0,1,0,0,3698.366,8.215646379467147
TZA,ZAR,1,0,0,0,2673.241,7.891046872942611
TZA,ZMB,1,1,0,1,1538.837,7.338782215299235
TZA,ZWE,0,1,0,1,1515.279,7.3233548594042315
UGA,ABW,0,0,0,0,11386.03,9.340142444322241
UGA,AFG,0,0,0,0,5380.85,8.590601633241375
UGA,AGO,0,0,0,0,2373.897,7.772288187539251
UGA,AIA,0,1,0,1,10602.5,9.268845101348745
UGA,ALB,0,0,0,0,4740.878,8.463977629603292
UGA,AND,0,0,0,0,5626.734,8.63528444623488
UGA,ANT,0,0,0,0,11261.92,9.329182402255325
UGA,ARE,0,0,0,1,3570.466,8.180451398467982
UGA,ARG,0,0,0,0,10137.2,9.22396710489084
UGA,ARM,0,0,0,0,4596.694,8.433092628439484
UGA,ATG,0,1,0,1,10475.68,9.256811659151136
UGA,AUS,0,1,0,0,12644.1,9.444945982193826
UGA,AUT,0,0,0,0,5553.761,8.622230634891865
UGA,AZE,0,0,0,0,4787.278,8.473717261656564
UGA,BDI,0,0,0,0,549.2128,6.308485980250043
UGA,BEL,0,0,0,0,6219.309,8.735414086314325
UGA,BEN,0,0,0,0,3406.452,8.133426559405509
UGA,BFA,0,0,0,0,4009.75,8.296484174217488
UGA,BGD,0,0,0,1,6747.756,8.816965284150227
UGA,BGR,0,0,0,0,4802.156,8.476820262717498
UGA,BHR,0,0,0,1,3468.951,8.151607521761889
UGA,BHS,0,1,0,1,12000.46,9.392700261368768
UGA,BIH,0,0,0,0,5044.499,8.526053621612713
UGA,BLR,0,0,0,0,5974.743,8.695296363322344
UGA,BLZ,0,1,0,1,13324.26,9.497341712782744
UGA,BMU,0,1,0,1,10691.03,9.27716035110815
UGA,BOL,0,0,0,0,11174.26,9.321368198049806
UGA,BRA,0,0,0,0,8932.303,9.097429535358255
UGA,BRB,0,1,0,1,10246.99,9.234739282903858
UGA,BRN,0,0,0,1,9169.153,9.123600194572257
UGA,BTN,0,0,0,0,6799.012,8.824532586490339
UGA,BWA,0,1,0,1,2882.737,7.966495469058194
UGA,CAF,0,0,0,0,1616.931,7.388285187052547
UGA,CAN,0,1,0,0,11737.87,9.37057564591638
UGA,CCK,0,0,0,0,7232.601,8.886354001495265
UGA,CHE,0,0,0,0,5734.78,8.654304667886084
UGA,CHL,0,0,0,0,11264.13,9.329378619524407
UGA,CHN,0,0,0,0,9468.473,9.155722927138457
UGA,CIV,0,0,0,0,4104.768,8.319904503846052
UGA,CMR,0,1,0,0,2375.223,7.772846606797748
UGA,COG,0,0,0,0,1995.224,7.598511603722712
UGA,COK,0,1,0,0,17351.6,9.761440000143265
UGA,COL,0,0,0,0,11971.55,9.39028828056151
UGA,COM,0,0,0,0,1782.844,7.485965121046061
UGA,CPV,0,0,0,0,6374.175,8.760009949887497
UGA,CRI,0,0,0,0,12927.46,9.467109010086514
UGA,CUB,0,0,0,0,12546.79,9.437220134951012
UGA,CXR,0,1,0,1,8178.551,9.009270274541459
UGA,CYM,0,1,0,1,12512.63,9.434493813179895
UGA,CYP,0,0,0,1,3875.884,8.262529044802234
UGA,CZE,0,0,0,0,5801.1,8.665802833724657
UGA,DEU,0,0,0,0,6177.539,8.728675251076345
UGA,DJI,0,0,0,0,1713.481,7.446282252837663
UGA,DMA,0,1,0,1,10432.92,9.252721470461958
UGA,DNK,0,0,0,0,6418.677,8.76696730068133
UGA,DOM,0,0,0,0,11309.12,9.333364758832804
UGA,DZA,0,0,0,0,5076.526,8.532382448367086
UGA,ECU,0,0,0,0,12363.58,9.422510333085897
UGA,EGY,0,0,0,0,3310.454,8.104840619086366
UGA,ERI,0,1,0,1,1807.427,7.49965956594209
UGA,ESH,0,0,0,0,5725.734,8.652726029811278
UGA,ESP,0,0,0,0,5773.843,8.661093168997644
UGA,EST,0,0,0,0,6611.158,8.796514106609326
UGA,ETH,0,1,0,0,1192.018,7.083402948182422
UGA,FIN,0,0,0,0,6687.78,8.808037259486651
UGA,FJI,0,1,0,1,15805.53,9.668115157779345
UGA,FLK,0,1,0,1,10075.93,9.2179046902471
UGA,FRA,0,0,0,0,6128.938,8.720776767591852
UGA,FRO,0,0,0,0,7613.931,8.937734874647637
UGA,FSM,0,1,0,0,13947.8,9.543077068719407
UGA,GAB,0,0,0,0,2578.386,7.854918900762628
UGA,GBR,0,1,1,0,6469.0,8.774776816043985
UGA,GEO,0,0,0,0,4767.132,8.469500145192757
UGA,GHA,0,1,0,1,3694.008,8.214467326430906
UGA,GIB,0,1,0,1,5584.541,8.627757523703416
UGA,GIN,0,0,0,0,5445.486,8.60254228758231
UGA,GLP,0,0,0,0,10468.46,9.256122206131247
UGA,GMB,0,1,0,1,5618.19,8.63376482695703
UGA,GNB,0,0,0,0,5479.053,8.608687554789677
UGA,GNQ,0,0,0,0,2672.162,7.890643161561203
UGA,GRC,0,0,0,0,4289.222,8.363860643494451
UGA,GRD,0,1,0,1,10478.95,9.257123762015901
UGA,GRL,0,0,0,0,9708.395,9.18074625411105
UGA,GTM,0,0,0,0,13555.89,9.51457641820597
UGA,GUF,0,0,0,0,9450.063,9.153776687132233
UGA,GUY,0,1,0,1,10095.45,9.219840106276466
UGA,HKG,0,1,0,1,9134.574,9.119821833898772
UGA,HND,0,0,0,0,13215.82,9.489169875813287
UGA,HRV,0,0,0,0,5315.882,8.578454222446068
UGA,HTI,0,0,0,0,11576.85,9.356762693397249
UGA,HUN,0,0,0,0,5410.857,8.596162769646133
UGA,IDN,0,0,0,0,8269.188,9.020291596981918
UGA,IND,0,1,0,1,5691.471,8.64672401743471
UGA,IRL,0,1,0,0,6897.966,8.838981864519722
UGA,IRN,0,0,0,0,4390.246,8.387140540945703
UGA,IRQ,0,0,0,0,3876.381,8.262657265393425
UGA,ISL,0,0,0,0,8352.069,9.030264571582547
UGA,ISR,0,1,0,1,3541.196,8.172219802175656
UGA,ITA,0,0,0,0,5044.428,8.526039546776012
UGA,JAM,0,1,0,1,12053.1,9.397077167243546
UGA,JOR,0,0,0,1,3536.507,8.170894795832208
UGA,JPN,0,0,0,0,11538.8,9.353470548519976
UGA,KAZ,0,0,0,0,6494.712,8.778743586320187
UGA,KEN,1,1,0,1,506.0586,6.226652472858653
UGA,KGZ,0,0,0,0,6316.986,8.750997474654358
UGA,KHM,0,0,0,0,8084.194,8.997666076256346
UGA,KIR,0,1,0,1,15641.16,9.657661180146887
UGA,KNA,0,1,0,1,10569.03,9.265683305495243
UGA,KOR,0,0,0,0,10384.14,9.248034921133417
UGA,KWT,0,0,0,1,3618.881,8.193920141011512
UGA,LAO,0,0,0,0,7897.159,8.974258353523078
UGA,LBN,0,0,0,0,3744.631,8.228078359721618
UGA,LBR,0,1,0,0,4860.096,8.48881346978587
UGA,LBY,0,0,0,0,4143.364,8.329263297257366
UGA,LCA,0,1,0,1,10393.05,9.248892592507284
UGA,LKA,0,0,0,1,5299.368,8.57534284714691
UGA,LSO,0,1,0,1,3344.248,8.114997134134102
UGA,LTU,0,0,0,0,6085.474,8.713659898854576
UGA,LUX,0,0,0,0,6033.801,8.705132439393921
UGA,LVA,0,0,0,0,6346.852,8.755714220931559
UGA,MAC,0,0,0,0,9073.908,9.113158321314234
UGA,MAR,0,0,0,0,5560.586,8.623458777374347
UGA,MDA,0,0,0,0,5206.751,8.557711331777494
UGA,MDG,0,0,0,0,2687.701,7.8964414603369075
UGA,MDV,0,0,0,1,4565.735,8.426334787735756
UGA,MEX,0,0,0,0,14330.93,9.570175417530058
UGA,MHL,0,1,0,0,15364.89,9.639840315411071
UGA,MKD,0,0,0,0,4769.688,8.470036172938107
UGA,MLI,0,0,0,0,4681.424,8.451357616134171
UGA,MLT,0,1,0,1,4376.728,8.384056692239604
UGA,MMR,0,0,0,1,7199.227,8.881728938129418
UGA,MNG,0,0,0,0,8824.388,9.085274530954857
UGA,MNP,0,1,0,0,12489.64,9.432654779645784
UGA,MOZ,0,0,0,0,2927.169,7.9817910233236935
UGA,MRT,0,0,0,0,5663.852,8.641859505088659
UGA,MSR,0,1,0,1,10517.88,9.260831945071086
UGA,MTQ,0,0,0,0,10402.45,9.249796634308655
UGA,MUS,0,1,0,1,3546.463,8.173706047766627
UGA,MWI,0,1,0,1,1597.372,7.376115057845877
UGA,MYS,0,0,0,1,7694.136,8.948213759267276
UGA,NAM,0,1,0,0,3051.572,8.023412146659496
UGA,NCL,0,0,0,0,14474.83,9.580166557985356
UGA,NER,0,0,0,0,3668.401,8.20751115128316
UGA,NFK,0,1,0,0,14322.93,9.56961702852363
UGA,NGA,0,1,0,1,3304.193,8.102947546978418
UGA,NIC,0,0,0,0,13144.85,9.483785325915914
UGA,NIU,0,1,0,0,16815.65,9.730065279389187
UGA,NLD,0,0,0,0,6337.427,8.754228129095425
UGA,NOR,0,0,0,0,6894.351,8.838457659618864
UGA,NPL,0,0,0,0,6388.173,8.762203590996995
UGA,NRU,0,1,0,1,14951.3,9.612553531560073
UGA,NZL,0,1,0,0,13882.43,9.538379290783583
UGA,OMN,0,0,0,0,3824.524,8.24918929407234
UGA,PAK,0,1,0,1,5624.472,8.634882356000203
UGA,PAL,0,0,0,1,3477.669,8.154117520747588
UGA,PAN,0,0,0,0,12437.06,9.42843600395665
UGA,PCN,0,1,0,1,16709.0,9.723702775394143
UGA,PER,0,0,0,0,12159.83,9.405893175159274
UGA,PHL,0,1,0,0,9833.455,9.193545626464614
UGA,PLW,0,1,0,0,11325.54,9.334815631333685
UGA,PNG,0,1,0,0,12714.27,9.450480263703144
UGA,POL,0,0,0,0,5878.683,8.679088036213662
UGA,PRI,0,1,0,0,10924.69,9.298780644275164
UGA,PRK,0,0,0,0,10270.28,9.237009566426316
UGA,PRT,0,0,0,0,6024.951,8.703664625545702
UGA,PRY,0,0,0,0,10057.92,9.21611566283271
UGA,PYF,0,0,0,0,18105.09,9.803948393189872
UGA,QAT,0,0,0,1,3441.155,8.143562449828028
UGA,REU,0,0,0,0,3430.187,8.140370057624319
UGA,ROM,0,0,0,0,4947.955,8.506729638887352
UGA,RUS,0,0,0,0,6185.184,8.729912033777778
UGA,RWA,1,1,0,0,376.9301,5.932059759116656
UGA,SAU,0,0,0,0,3107.796,8.041669072267695
UGA,SDN,1,0,0,1,1693.612,7.4346188052939
UGA,SEN,0,0,0,0,5728.237,8.653163083482855
UGA,SGP,0,1,0,1,7931.624,8.97861308559127
UGA,SHN,0,1,0,1,4577.393,8.428884901070655
UGA,SLB,0,1,0,1,14117.29,9.555155566281407
UGA,SLE,0,1,0,1,5165.069,8.549673740612619
UGA,SLV,0,0,0,0,13429.28,9.505192676762201
UGA,SMR,0,0,0,0,5247.143,8.5654390169841
UGA,SOM,0,1,0,1,1433.108,7.267600791352541
UGA,SPM,0,0,0,0,9894.471,9.199731395263445
UGA,STP,0,0,0,0,2878.945,7.96517918657419
UGA,SUR,0,0,0,0,9771.406,9.18721564461114
UGA,SVK,0,0,0,0,5527.376,8.617468479191867
UGA,SVN,0,0,0,0,5388.563,8.59203402353391
UGA,SWE,0,0,0,0,6686.84,8.807896694745141
UGA,SWZ,0,1,0,1,2972.053,7.997008238787659
UGA,SYC,0,1,0,1,2603.635,7.864663824533057
UGA,SYR,0,0,0,0,3711.999,8.219325824509504
UGA,TCA,0,1,0,1,11421.88,9.343286093128645
UGA,TCD,0,0,0,0,2347.747,7.761211423864718
UGA,TGO,0,0,0,0,3529.222,8.168832729035875
UGA,THA,0,0,0,0,7623.443,8.938983383903311
UGA,TJK,0,0,0,0,5642.321,8.638050784661683
UGA,TKL,0,1,0,0,17143.89,9.749397120893912
UGA,TKM,0,0,0,0,4950.452,8.50723416452526
UGA,TMP,0,0,0,0,10352.26,9.24496013234491
UGA,TON,0,1,0,1,16225.98,9.69436894036458
UGA,TTO,0,1,0,1,10458.53,9.255173192370044
UGA,TUN,0,0,0,0,4669.814,8.44887452117597
UGA,TUR,0,0,0,0,4544.684,8.421713477241774
UGA,TUV,0,0,0,1,16222.9,9.694179103303378
UGA,TWN,0,0,0,0,9895.356,9.19982083515603
UGA,TZA,1,1,0,1,1093.389,6.99703732604812
UGA,UKR,0,0,0,0,5577.735,8.626538058991482
UGA,URY,0,0,0,0,9924.09,9.20272041369439
UGA,USA,0,1,0,0,11381.89,9.339778774734011
UGA,UZB,0,0,0,0,5857.336,8.675450171697204
UGA,VCT,0,1,0,1,10421.98,9.251672316449856
UGA,VEN,0,0,0,0,11051.02,9.310278010378113
UGA,VGB,0,1,0,1,10765.05,9.284060054469515
UGA,VNM,0,0,0,0,8269.625,9.020344442370533
UGA,VUT,0,1,0,1,14816.58,9.603502102987992
UGA,WLF,0,0,0,0,16547.79,9.714007837145449
UGA,WSM,0,1,0,0,15293.0,9.635150486348124
UGA,YEM,0,0,0,1,2109.884,7.654388248655542
UGA,YUG,0,0,0,0,5094.179,8.53585379430169
UGA,ZAF,0,1,0,0,4088.998,8.316055231247379
UGA,ZAR,1,0,0,0,1989.914,7.5958467007042945
UGA,ZMB,0,1,0,1,1821.461,7.507394205294339
UGA,ZWE,0,1,0,1,2028.896,7.615247081735404
UKR,ABW,0,0,0,0,9678.449,9.177656940160135
UKR,AFG,0,0,0,0,3580.626,8.183292924443656
UKR,AGO,0,0,0,0,6802.643,8.825066492119653
UKR,AIA,0,0,0,0,8711.546,9.072404551225533
UKR,ALB,0,0,0,0,1303.97,7.173168736086984
UKR,AND,0,0,0,0,2372.859,7.771850836212768
UKR,ANT,0,0,0,0,9637.682,9.173435902258774
UKR,ARE,0,0,0,0,3545.552,8.173449139115135
UKR,ARG,0,0,0,0,12845.99,9.460786979364999
UKR,ARM,0,0,0,1,1575.587,7.36238318023763
UKR,ATG,0,0,0,0,8718.199,9.073167958874137
UKR,AUS,0,0,0,0,14956.91,9.612928679391775
UKR,AUT,0,0,0,0,1052.484,6.958908363540749
UKR,AZE,0,0,0,1,1873.832,7.535740810967596
UKR,BDI,0,0,0,0,5987.114,8.697364772000125
UKR,BEL,0,0,0,0,1837.307,7.516056191556928
UKR,BEN,0,0,0,0,5545.644,8.62076803370793
UKR,BFA,0,0,0,0,5147.142,8.546196888158919
UKR,BGD,0,0,0,0,5891.902,8.68133414472186
UKR,BGR,0,0,0,0,1022.553,6.930057720314466
UKR,BHR,0,0,0,0,3195.369,8.069457853100584
