iso_o,iso_d,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
ABW,SEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABW,SGP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028616531621447,0.0,0.0,0.0
ABW,SLV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABW,SUR,0.0,0.0,0.0004944032536746,0.0027402753480985,0.0031136882948593,0.0021682343563615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008331976544778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABW,SVK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABW,SVN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.05493640967725e-05,0.0,4.304529572303845e-05,9.504709676367922e-05,0.0,6.467750865059157e-05,0.0,0.0,0.0
ABW,SWE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000836286019168,0.0,0.0,0.0009364442457164,0.0,0.0006858861088154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABW,SYC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABW,SYR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABW,THA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001423832047786,0.0,0.0,0.0
ABW,TTO,0.0,0.0100956107560292,0.0141663188149651,0.0058123332688528,0.0085766655074971,0.0,0.0031062324392526,0.0012978721168205,0.0005110054671346,0.0,0.0,0.0,0.0,0.0,0.0028977818752629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABW,TUR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001368663480558,0.0,0.0,4.760388172504982e-05,0.0,0.0,0.0,0.0,0.0,0.0
ABW,TWN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004792225025515,0.0,0.0,0.0
ABW,TZA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABW,USA,0.0,0.0149422940679062,0.0147606882203718,0.0426116415044887,0.07005939029099,0.122856145090047,0.2648177402328281,0.5954905699395564,0.3487729600183079,0.1337166467852417,0.1023449135530746,0.0936240682113905,0.1778741023117361,0.2312115517858908,0.1908085623012242,1.0100926985010723,0.3119812570325556,0.1214545715865963,0.0446401656934149,0.0323875916101421,0.0393723617536098,0.0277744981653277,0.3145775057867203,0.1143122345753867
ABW,VCT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005478624290728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABW,VEN,0.0,8.66036568235462e-05,0.0027480675155543,0.0060454602349964,0.0113110229423986,0.0069812306993014,0.0065550767979199,0.0052417779285702,0.0028285291631798,0.0020349451633063,0.000627229889437,0.0002190081545253,0.0002264076298192,0.0,0.0016193104680057,0.0006802188291487,0.0003803142678881,0.0001874207573916,0.0,0.0,0.0,0.0,0.0,0.0
ABW,YEM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015286833434969,0.0,0.0,0.0
ABW,ZAF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,ALB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,ARE,0.0,0.0,0.0,0.0053790178071422,0.0217053942478593,0.0538923050658194,0.0467356210417432,0.0503165155106358,0.0571707729769388,0.1646907577923666,0.0,0.0,0.0,0.0,0.0,0.0497359452494729,0.0546373898321091,0.0299327703073369,0.0168248464185985,0.0114011753630222,0.0135117160221566,0.019656478372198,2.2444918385608994,0.6922616575673657
AFG,AUS,0.0,0.0,0.0,0.0,0.0001917367332886,0.0003584809648385,0.0,0.0,0.006562353464137,0.0,0.0,0.0031603705212033,0.0,0.211445578380316,0.0693836740924589,0.0,0.1096922069701854,0.0,0.0,0.0,0.0,0.0338960781732135,0.0226258799724168,0.0164399705194398
AFG,AUT,0.0,0.0,0.0011640951191492,0.0011577919402148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0065336835688259,0.0,0.0,0.0,0.0019634801020577,0.0,0.0,0.0,0.0008029690781156,0.0,0.0
AFG,BEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015999545103431,0.0,0.0006085145683439,0.0,0.0
AFG,BGR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,BHR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.83050404803268e-06,0.0,0.0,0.0
AFG,BRN,0.0,0.0,0.0,0.0,0.0,0.0003540924697042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001724864018723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,BWA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,CAN,0.0,2.19892844582475e-05,0.0038864913855876,0.0028328108437484,0.0610894694884137,0.0183544010825505,0.0057935701553051,0.0019361162120574,0.004439106985456,0.0034793198280786,0.002428243843616,0.007514826628016,0.0536957881072054,0.0219393126503649,0.0068460655133415,0.0362486475934524,0.0112838263101588,0.0174345175936273,0.016245051577783,0.0075284059521087,0.0073777545103659,0.0100266975062656,0.007318264939341,0.0119520949776762
AFG,CHE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0228677642340154,0.0,0.0081495277932701,0.0,0.0032755796092426,0.0057371840682283,0.0,0.0,0.0,0.0022476023075388,0.0059342772987543,0.0619942820358186,0.0612158337811816,0.0636045314121373
AFG,CHL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,CHN,0.0,0.0,0.0,0.0,0.0135553616186348,0.0252431274203751,0.0325947153787687,0.0341317195105032,0.0221562425130009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0454936323135974,0.0137198661147696,0.0,0.0058104884126893,0.0186356511977822,0.0,0.0065064211332964,0.0056838153731643
AFG,CMR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018140082100483,0.0013131910819859
AFG,COL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,CRI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008915925331668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,CYP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,CZE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6782200906238e-05,0.000437715644172,0.0,0.0,0.0,0.0
AFG,DEU,0.0,0.0,0.0,0.0027408178571179,0.0064722214711658,0.0024010893731219,0.0026924429416325,0.0025879070654217,0.0022857394591032,0.0218757218377309,0.0216630824766858,0.0,0.0,0.0610093030356807,0.0,0.018831379685009,0.0263539471657125,0.0111317812979638,0.0044753122403314,0.0025500577195775,0.0,0.0008613309141746,0.0088658833237257,0.0116527795580259
AFG,DNK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002299420323956,0.0,0.0,0.0,0.0,0.0,0.0001377387852354,0.0,0.0
AFG,DOM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026842125382491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,DZA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,ESP,0.0,0.0,0.0,0.0,0.0030353934675298,0.0066114123703737,0.0129630000518228,0.0251506553735876,0.0257254851391676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0786954694191429,0.0237776205481134,0.0072401216236403,0.002801337702385,0.0,0.0,0.0,0.0
AFG,EST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,FIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,FRA,0.0,0.0,0.00287796625193,0.0,0.0026275372663507,0.0,0.0,0.001923508196294,0.0061658051446455,0.0405210564520342,0.0220658576138799,0.0175323447589681,0.0063533912422055,0.0046607785798412,0.003297655111845,0.0014912649070219,0.0263259848933866,0.008389557202237,0.0131410869521278,0.0214665670858905,0.0,0.0,0.0,0.0101294152421133
AFG,GBR,0.0,0.0,0.0046444639903517,0.7290962036767825,0.2936162242580337,0.0,0.169839932776748,0.2126508470377434,0.8679975221278791,0.3960375021594857,0.4134142932310487,0.2258944764792666,0.550133839382132,0.168611029027061,0.0,0.1134329281353121,2.2694317615403534,0.6827276903211322,0.2498290367730816,0.1336066264119942,0.0657266629599282,0.036368821199686,0.0613969963457116,0.1504280472103994
AFG,GHA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,HND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,IDN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.38702538126493e-05
AFG,IND,0.0,0.0,0.0,0.0,0.0117371769238472,0.0156215169553798,0.014411416235924,0.0159443811699019,0.0135617040967142,0.0,0.0,0.0,0.0,0.039791608184035,0.0,0.0,0.0,0.0141693373026018,0.0,0.0,0.0,0.0,0.0,0.0
AFG,IRL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.09124399249637e-05,0.0,0.0006706289533903,0.0,0.0,0.0002572039483636,0.001454822036794,0.031078128074747
