iso_o,iso_d,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AFG,DEU,0.0,0.0,0.0,0.0,0.0,0.0,0.0028,0.0,0.0056,0.0005,0.002,0.0018,0.0015,0.0212,0.0152,0.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0011,0.0,0.0001,0.0,0.002,0.004,0.0031
AFG,DNK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0
AFG,DOM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,DZA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,ESP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0057,0.011,0.0213,0.0182,0.0709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006,0.0003,0.0,0.0,0.0,0.0
AFG,FIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,FRA,0.0,0.0,0.0242,0.0,0.0,0.0029,0.0,0.0018,0.0,0.0011,0.0,0.0,0.0056,0.0387,0.01,0.011,0.0011,0.0028,0.0019,0.0005,0.0022,0.0005,0.01,0.0176,0.0037,0.0,0.0,0.0,0.0
AFG,GBR,0.0,0.0,0.0,0.0,0.0,0.0,0.0047,0.0,0.0683,0.0822,0.0,0.0199,0.0994,0.1362,0.2958,0.1022,0.0468,0.0036,0.063,0.0,2.2445,0.0019,0.0019,0.0537,0.0257,0.0098,0.0483,0.0404,0.0079
AFG,GHA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,HND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,0.0
AFG,IDN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0
AFG,IND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0118,0.0122,0.0097,0.0116,0.0088,0.0357,0.0,0.0,0.0,0.0,0.0022,0.0,0.0,0.0,0.0145,0.0,0.0,0.0,0.0,0.0,0.0
AFG,IRL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007,0.0,0.0,0.0,0.0,0.0014,0.0316,0.0008
AFG,IRN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7715,0.4175,0.2525,1.1501,0.5502,2.6996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,IRQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0732,0.0887,0.0791,0.0669,0.0583,0.2745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,ITA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,JPN,0.0,0.0,7.6224,0.0034,0.0,0.0034,0.0234,1.4094,1.5149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0162,0.0035,0.0,0.0,0.0313,0.1751,0.0,0.0,0.0,0.5787
AFG,KAZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028,0.0048,0.0108,0.0093,0.0077,0.0254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
