"","iso_o","pageRank_repro.name","pageRank_repro.wpr","close_repro.name","close_repro.closeness","outdegree_repro.name","outdegree_repro.degree","indegree_repro.name","indegree_repro.degree","local_clust_tt_repro","local_clust_out_repro"
"17","BGD",17,0.00291939651067147,17,1026.0757636818,17,22.9793200482191,17,374.206094087476,0.959223557304376,0.913971489737551
"18","BGR",18,0.00425004340464042,18,6794.6017655216,18,295.217378317197,18,569.172468037371,0.928538983065221,0.908745420539752
"19","BHR",19,0.00333805930065691,19,1745.78472651415,19,40.8003676907002,19,241.719043769368,0.966708476781621,0.928697682789892
"20","BHS",20,0.00174770163397845,20,1195.3806737375,20,14.7573666767432,20,62.7528834959558,0.988803614208492,0.942271097805811
"21","BIH",21,0.00260947785836968,21,2743.42494149774,21,47.4712079177293,21,169.806697439939,0.9369284113093,0.941537376585302
"22","BLR",22,0.00445245712517576,22,5592.45408924605,22,212.77793904621,22,381.525443564243,0.953007652035941,0.923408006152482
"23","BLZ",23,0.00181526248910305,23,981.495411452818,23,41.444151634791,23,31.9402979475223,0.85335228685489,0.72086766810675
"24","BMU",24,0.00167465058282711,24,66.8617640536148,24,3.36321016260914,24,49.6909709761935,0.989096240364941,0.859632411920775
"25","BOL",25,0.0032456368887039,25,258.648680393328,25,6.44713437534239,25,111.520190636504,0.948564819304056,0.939864752045417
"26","BRA",26,0.00801047097150465,26,14686.3265167028,26,1196.06050709206,26,2635.54177985812,0.892158692532378,0.759225131114285
"27","BRB",27,0.00226732886695829,27,861.34415235927,27,17.6188000842323,27,43.5168718087224,0.939395821425139,0.833352453680594
"28","BRN",28,0.00184459324456959,28,493.395157872562,28,7.10363816339469,28,74.0484664270242,0.984536366844601,0.975860462950025
"29","BTN",29,0.00141320738079248,29,173.132641232034,29,3.18107737352607,29,18.1215638100326,0.990193853362606,0.965320348716529
"30","BWA",30,0.00210180642626279,30,823.86823033438,30,24.392230538314,30,61.7237482035093,0.955984769170701,0.839559523536966
"31","CAF",31,0.00196545899304323,31,123.68051943401,31,3.02582605128577,31,17.9777072321649,0.971406018647071,0.954049911926946
"32","CAN",32,0.0134721422552974,32,31253.5324671188,32,2674.75908380038,32,4807.44441781999,0.947518575583765,0.948401063121558
"33","CHE",33,0.0091826863295904,33,24182.2964829319,33,2230.17341670486,33,2278.53708199362,0.920878354195665,0.89123049312553
"34","CHL",34,0.00529351396360947,34,1716.4519209553,34,99.6803994842494,34,857.023204424482,0.957291809950457,0.776882608807175
"35","CHN",35,0.0321220969626437,35,61506.3741910049,35,26439.3512556864,35,14922.4053531135,0.900505495833378,0.884424159764765
"36","CIV",36,0.00242448032694821,36,741.421944727232,36,12.3717411483494,36,120.622201213904,0.964929467069729,0.811962053857831
"37","CMR",37,0.00254884537731367,37,634.393453196774,37,11.9936625189411,37,103.459953056665,0.959147768193703,0.834875442472687
"38","COG",38,0.00296054353080293,38,153.734623025509,38,9.95605654289866,38,101.636601862952,0.965084643438851,0.796145092794632
"39","COL",39,0.00590448754201489,39,5087.27953288552,39,254.437013131842,39,805.141980699053,0.921418538588916,0.768691281984435
"40","COM",40,0.0014327878393659,40,6.02611296576112,40,1.78735954129116,40,7.42753449976795,0.982539526857381,0.938339438339438
"41","CPV",41,0.00167020822087192,41,222.609269269786,41,3.96537035146983,41,25.5351152415747,0.965594219170964,0.956650183306334
"42","CRI",42,0.00348326625977937,42,16620.9182081948,42,633.491266109322,42,566.48612410443,0.950539269829772,0.93941262322069
"43","CUB",43,0.00307951327228171,43,1632.83223461496,43,32.0687686041057,43,242.886484244963,0.935019012124665,0.845784909607346
"44","CYP",44,0.0026248906971927,44,3547.0549993178,44,92.2375237929755,44,222.109211016122,0.949760952284661,0.90877751468535
"45","CZE",45,0.00771349107636874,45,29043.2953941913,45,3235.48317431213,45,2829.86486583174,0.930772557077757,0.927676304946494
"46","DEU",46,0.0421332938891324,46,41227.5152716459,46,13553.8084234952,46,11711.8245324482,0.89707030304181,0.871150359874993
"47","DJI",47,0.00163521487311773,47,40.1734660505375,47,2.47127115286039,47,51.0194974332506,0.986781936939176,0.770823986840138
"48","DMA",48,0.00168041154538102,48,335.861467521698,48,6.45954550530065,48,16.3154314859152,0.968945540649557,0.911690275852891
"49","DNK",49,0.0066184604846123,49,17372.7107346107,49,1690.94038810616,49,1717.70613169512,0.929135935806095,0.909768007305257
"50","DOM",50,0.00503121220119246,50,11106.7783531896,50,220.908113887671,50,430.669272424964,0.973069748272492,0.979733035750736
"51","DZA",51,0.00419465334336214,51,572.110586708774,51,13.0150238774863,51,599.385609989712,0.96851444684618,0.902051915763017
"52","ECU",52,0.00464625237341492,52,1718.50428766841,52,43.6351776498449,52,388.543902333566,0.936458817299142,0.871231351900232
"53","EGY",53,0.00388197624455899,53,5312.62090661201,53,218.336339889193,53,746.274120646911,0.936684874304252,0.788612390723443
"54","ERI",54,0.00234022433209701,54,112.593255072703,54,2.87109907345463,54,19.4346849335154,0.955036182596265,0.868531411131756
"55","ESP",55,0.0155096495820769,55,19359.9866757364,55,2747.44372460053,55,4907.95374605965,0.911645142487223,0.8642095425952
"56","EST",56,0.00287540258593714,56,8484.62802767767,56,365.225247905955,56,433.952719002539,0.95787986106733,0.945401338300692
"57","ETH",57,0.0024212083697735,57,178.571190809678,57,5.86199460120434,57,227.721421247092,0.963876847480438,0.857207681791321
"58","FIN",58,0.00614894280172885,58,17618.0897957039,58,2888.0591816665,58,2073.35902266363,0.904695324239064,0.855977383222477
"59","FJI",59,0.0023565208212437,59,251.918592416875,59,8.93598028535925,59,54.0792829626183,0.907812659141986,0.564531983566009
