iso_o,iso_d,contig,comlang_off,colony,comcol,dist,iso2,country,landlocked,continent,lat,lon,langoff_1,colonizer1
ABW,OMN,0,0,0,0,13155.516,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,PAK,0,0,0,0,13581.605,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,PAL,0,0,0,0,10625.237,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,PAN,0,1,0,0,1102.9749,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,PCN,0,0,0,0,7735.0132,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,PER,0,1,0,0,2848.8611,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,PHL,0,0,0,0,16773.428,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,PLW,0,0,0,0,16527.85,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,PNG,0,0,0,0,15957.224,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,POL,0,0,0,0,8990.0234,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,PRI,0,1,0,0,781.56958,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,PRK,0,0,0,0,14063.867,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,PRT,0,0,0,0,6637.4243,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,PRY,0,1,0,0,4418.0757,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,PYF,0,0,0,0,9348.1074,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,QAT,0,0,0,0,12436.231,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,REU,0,0,0,0,14183.826,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,ROM,0,0,0,0,9528.1191,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,RUS,0,0,0,0,9942.4746,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,RWA,0,0,0,0,11168.009,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,SAU,0,0,0,0,12028.872,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,SDN,0,0,0,0,10960.457,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,SEN,0,0,0,0,5688.1304,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,SGP,0,0,0,0,18355.379,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,SHN,0,0,0,0,7763.8979,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,SLB,0,0,0,0,14562.644,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,SLE,0,0,0,0,6222.7559,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,SLV,0,1,0,0,2070.0093,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,SMR,0,0,0,0,8461.9121,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,SOM,0,0,0,0,12721.271,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,SPM,0,0,0,0,4015.7551,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,STP,0,0,0,0,8580.3467,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,SUR,0,1,0,1,1793.713,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,SVK,0,0,0,0,8778.7412,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,SVN,0,0,0,0,8601.0088,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,SWE,0,0,0,0,8715.3867,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,SWZ,0,0,0,0,11739.211,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,SYC,0,0,0,0,13989.588,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,SYR,0,0,0,0,10720.528,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,TCA,0,0,0,0,998.47742,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,TCD,0,0,0,0,9201.1582,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,TGO,0,0,0,0,7858.2998,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,THA,0,0,0,0,16930.207,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,TJK,0,0,0,0,12917.734,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,TKL,0,0,0,0,11515.176,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,TKM,0,0,0,0,12265.522,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,TMP,0,0,0,0,18262.52,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,TON,0,0,0,0,12067.622,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,TTO,0,0,0,0,959.7569,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,TUN,0,0,0,0,8328.585,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,TUR,0,0,0,0,9845.79,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,TUV,0,0,0,0,12456.918,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,TWN,0,0,0,0,15659.134,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,TZA,0,0,0,0,12282.36,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,UGA,0,0,0,0,11386.025,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,UKR,0,0,0,0,9678.4492,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,URY,0,1,0,0,5483.9346,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,USA,0,0,0,0,3161.668,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
ABW,UZB,0,0,0,0,12732.287,AW,Aruba,0,America,12.55,-70.099998,Dutch,NLD
